
2024/05/29 (05:28:10) | ===> btop++ v.1.3.2
2024/05/29 (05:28:10) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/06/01 (11:06:51) | ===> btop++ v.1.3.2
2024/06/01 (11:06:51) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/06/01 (12:00:21) | ===> btop++ v.1.3.2
2024/06/01 (12:00:21) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/06/01 (22:53:21) | ===> btop++ v.1.3.2
2024/06/01 (22:53:21) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/06/01 (22:54:18) | ===> btop++ v.1.3.2
2024/06/01 (22:54:18) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/06/04 (07:47:53) | ===> btop++ v.1.3.2
2024/06/04 (07:47:53) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/06/05 (15:10:37) | ===> btop++ v.1.3.2
2024/06/05 (15:10:37) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
